"Microsoft Corporation"
"Date","High","Low","Close","Volume"
"04 Jan 93", 85.750, 84.500, 85.125,2270000
"05 Jan 93", 86.750, 84.750, 86.500,2240000
"06 Jan 93", 89.250, 86.750, 89.000,2730000
"07 Jan 93", 89.875, 87.000, 87.250,1830000
"08 Jan 93", 88.250, 86.250, 87.125,1370000
"11 Jan 93", 89.250, 86.250, 89.125,1820000
"12 Jan 93", 91.250, 88.750, 89.750,2660000
"13 Jan 93", 92.250, 88.250, 91.250,2610000
"14 Jan 93", 94.000, 90.500, 91.250,3750000
"15 Jan 93", 91.000, 87.000, 89.750,5640000
"18 Jan 93", 89.750, 88.250, 89.250,1580000
"19 Jan 93", 89.250, 88.250, 88.375,1660000
"20 Jan 93", 89.000, 87.750, 88.375,1490000
"21 Jan 93", 90.000, 86.750, 89.500,2290000
"22 Jan 93", 90.250, 88.750, 89.375,1490000
"25 Jan 93", 90.250, 87.750, 88.500,1550000
"26 Jan 93", 90.000, 87.500, 88.000,1290000
"27 Jan 93", 87.750, 85.500, 86.500,1970000
"28 Jan 93", 87.125, 84.750, 87.000,2400000
"29 Jan 93", 88.000, 85.750, 86.500,1230000
"01 Feb 93", 88.000, 85.500, 87.500,1340000
"02 Feb 93", 89.500, 87.250, 89.000,2200000
"03 Feb 93", 90.250, 88.000, 88.375,2240000
"04 Feb 93", 87.750, 84.500, 85.000,3750000
"05 Feb 93", 89.500, 82.250, 89.000,5480000
"08 Feb 93", 88.750, 85.000, 85.750,2850000
"09 Feb 93", 87.250, 83.250, 83.875,2010000
"10 Feb 93", 86.250, 84.000, 85.500,1220000
"11 Feb 93", 86.500, 84.750, 85.250, 989000
"12 Feb 93", 85.250, 83.250, 83.625,1090000
"16 Feb 93", 82.875, 79.750, 80.125,2850000
"17 Feb 93", 81.250, 77.250, 80.250,3490000
"18 Feb 93", 82.750, 79.000, 81.625,4330000
"19 Feb 93", 82.000, 79.500, 79.750,3030000
"22 Feb 93", 81.000, 76.750, 76.750,2370000
"23 Feb 93", 80.500, 76.750, 79.500,3300000
"24 Feb 93", 84.000, 78.750, 83.875,2420000
"25 Feb 93", 85.000, 81.875, 84.375,1900000
"26 Feb 93", 85.000, 83.000, 83.375, 929000
"01 Mar 93", 83.750, 81.250, 81.500, 826000
"02 Mar 93", 84.750, 81.250, 84.625,1180000
"03 Mar 93", 85.500, 83.500, 84.750,1320000
"04 Mar 93", 84.750, 81.750, 83.750,1770000
"05 Mar 93", 85.000, 82.500, 82.750,1120000
"08 Mar 93", 84.500, 82.000, 83.625,1500000
"09 Mar 93", 85.000, 83.750, 84.250,1290000
"10 Mar 93", 85.750, 83.500, 85.000, 831000
"11 Mar 93", 87.750, 85.000, 86.500,1800000
"12 Mar 93", 89.250, 85.250, 89.000,2300000
"15 Mar 93", 89.250, 87.000, 87.625,1100000
"16 Mar 93", 88.750, 87.000, 87.750,1140000
"17 Mar 93", 87.500, 85.250, 85.375,1240000
"18 Mar 93", 86.750, 85.000, 85.250,1080000
"19 Mar 93", 85.750, 84.000, 84.250,1420000
"22 Mar 93", 84.000, 82.500, 83.375,1070000
"23 Mar 93", 85.000, 83.000, 83.125,1080000
"24 Mar 93", 86.750, 83.000, 86.250,1580000
"25 Mar 93", 88.250, 86.375, 87.375,1370000
"26 Mar 93", 88.250, 86.000, 86.625, 887000
"29 Mar 93", 88.500, 86.750, 87.000,1510000
"30 Mar 93", 91.250, 87.250, 91.000,4400000
"31 Mar 93", 94.250, 90.750, 92.500,5430000
"01 Apr 93", 94.750, 92.500, 93.000,3140000
"02 Apr 93", 92.000, 89.750, 89.750,2270000
"05 Apr 93", 92.250, 88.000, 91.500,1900000
"06 Apr 93", 93.000, 89.250, 89.750,1730000
"07 Apr 93", 90.500, 89.250, 90.250,1230000
"08 Apr 93", 90.250, 88.250, 89.000,1260000
"12 Apr 93", 91.250, 88.500, 90.125,1530000
"13 Apr 93", 92.250, 88.750, 88.875,1670000
"14 Apr 93", 90.250, 87.750, 89.000,1210000
"15 Apr 93", 89.250, 86.000, 87.125,3390000
"16 Apr 93", 87.750, 85.500, 87.000,1550000
"19 Apr 93", 87.250, 85.000, 87.000,1430000
"20 Apr 93", 87.500, 85.000, 86.750,1440000
"21 Apr 93", 86.750, 84.250, 84.875,2870000
"22 Apr 93", 85.000, 82.875, 83.250,2500000
"23 Apr 93", 83.250, 80.750, 81.375,2790000
"26 Apr 93", 82.500, 79.750, 80.375,2040000
"27 Apr 93", 82.750, 80.250, 82.500,1820000
"28 Apr 93", 86.000, 82.750, 86.000,1720000
"29 Apr 93", 85.750, 84.000, 85.500,1550000
"30 Apr 93", 86.750, 85.000, 85.500,1460000
"03 May 93", 87.000, 85.000, 86.125,1190000
"04 May 93", 88.500, 86.500, 88.000,1560000
