"Microsoft Corporation"
"Date","High","Low","Close","Volume"
"13 Mar 86", 29.250, 26.000, 28.000, 3582600
"14 Mar 86", 29.500, 28.000, 29.000, 1070000
"17 Mar 86", 29.750, 29.000, 29.500, 462400
"18 Mar 86", 29.750, 28.500, 28.750, 230800
"19 Mar 86", 29.000, 28.000, 28.250, 166300
"20 Mar 86", 28.250, 27.250, 27.500, 202900
"21 Mar 86", 28.000, 26.250, 27.000, 208300
"24 Mar 86", 26.750, 25.750, 26.000, 216800
"25 Mar 86", 26.500, 25.750, 26.500, 111400
"26 Mar 86", 27.500, 26.250, 27.250, 79000
"27 Mar 86", 27.750, 27.250, 27.750, 58500
"31 Mar 86", 27.750, 27.000, 27.500, 44700
"01 Apr 86", 27.500, 27.250, 27.250, 38500
"02 Apr 86", 28.000, 27.250, 27.500, 93800
"03 Apr 86", 28.500, 27.750, 27.750, 80000
"04 Apr 86", 28.000, 27.750, 27.750, 92300
"07 Apr 86", 28.000, 26.750, 27.250, 57500
"08 Apr 86", 28.000, 27.250, 27.500, 35600
"09 Apr 86", 28.250, 27.500, 28.000, 42200
"10 Apr 86", 28.500, 27.500, 28.250, 48200
"11 Apr 86", 29.250, 28.500, 28.750, 59800
"14 Apr 86", 29.250, 28.750, 29.000, 42200
"15 Apr 86", 29.000, 28.000, 29.000, 32300
"16 Apr 86", 30.250, 28.750, 30.000, 110800
"17 Apr 86", 30.250, 30.000, 30.250, 76400
"18 Apr 86", 30.250, 29.000, 29.250, 75100
"21 Apr 86", 29.500, 28.500, 29.250, 79600
"22 Apr 86", 29.250, 28.750, 28.750, 54000
"23 Apr 86", 29.000, 28.500, 28.875, 54200
"24 Apr 86", 32.250, 28.750, 31.750, 216100
"25 Apr 86", 35.125, 32.000, 33.750, 296700
"28 Apr 86", 34.250, 33.500, 34.000, 100300
"29 Apr 86", 34.000, 32.750, 33.250, 105300
"30 Apr 86", 33.250, 31.500, 32.250, 104300
"01 May 86", 32.250, 31.250, 31.750, 188700
"02 May 86", 32.250, 31.500, 31.750, 70300
"05 May 86", 31.750, 31.500, 31.500, 11300
"06 May 86", 32.250, 31.750, 31.750, 33800
"07 May 86", 32.000, 31.250, 31.750, 17900
"08 May 86", 32.000, 31.500, 32.000, 12300
"09 May 86", 32.000, 31.750, 31.750, 21100
"12 May 86", 32.750, 31.750, 32.000, 36400
"13 May 86", 32.500, 32.000, 32.250, 13300
"14 May 86", 32.250, 32.000, 32.000, 32300
"15 May 86", 32.500, 32.000, 32.000, 13200
"16 May 86", 33.000, 32.000, 32.250, 41500
"19 May 86", 32.250, 31.500, 31.500, 38300
"20 May 86", 31.750, 31.250, 31.500, 15200
"21 May 86", 31.750, 31.000, 31.000, 28100
"22 May 86", 31.250, 31.000, 31.000, 15300
"23 May 86", 31.500, 31.000, 31.000, 14200
"27 May 86", 32.000, 31.000, 32.000, 48200
"28 May 86", 33.000, 32.000, 33.000, 53900
"29 May 86", 34.250, 32.750, 33.750, 158600
"30 May 86", 35.500, 34.000, 34.750, 114000
"02 Jun 86", 35.000, 34.000, 34.000, 68500
"03 Jun 86", 34.000, 33.500, 34.000, 17400
"04 Jun 86", 34.250, 33.500, 33.750, 16400
"05 Jun 86", 34.250, 33.500, 34.250, 47600
"06 Jun 86", 34.250, 33.750, 34.250, 11900
"09 Jun 86", 34.250, 32.750, 32.750, 44000
"10 Jun 86", 32.750, 32.250, 32.750, 11900
"11 Jun 86", 32.750, 32.250, 32.750, 8000
"12 Jun 86", 32.750, 31.250, 31.500, 47600
"13 Jun 86", 31.750, 31.250, 31.500, 27400
"16 Jun 86", 31.750, 31.000, 31.250, 33300
"17 Jun 86", 32.250, 31.500, 31.750, 45400
"18 Jun 86", 31.750, 31.000, 31.500, 15100
"19 Jun 86", 31.750, 31.000, 31.250, 29400
