"Microsoft Corporation"
"Date","High","Low","Close","Volume"
"13 Mar 86", 29.250, 26.000, 28.000, 3582600
"14 Mar 86", 29.500, 28.000, 29.000, 1070000
"17 Mar 86", 29.750, 29.000, 29.500, 462400
"16 Sep 87",120.000,116.750,116.750, 200400
"17 Sep 87",117.500,113.750,116.000, 241100
"18 Sep 87",116.000,114.000,114.500, 109900
"SPLIT",2.0,0.0,0.0,0
"21 Sep 87", 57.250, 53.000, 53.500, 594100
"22 Sep 87", 57.750, 53.000, 57.250, 569500
"23 Sep 87", 60.375, 57.750, 60.250, 747900
"10 Apr 90",118.000,114.500,118.000, 310000
"11 Apr 90",121.000,118.250,121.000, 490000
"12 Apr 90",122.000,120.000,120.750, 340000
"SPLIT",2.0,0.0,0.0,0
"16 Apr 90", 61.750, 60.125, 60.750, 550000
"17 Apr 90", 63.000, 59.750, 62.000, 930000
"18 Apr 90", 61.750, 58.750, 60.625,1400000
"24 Jun 91",101.500, 97.500, 98.125,1100000
"25 Jun 91",100.250, 98.000, 98.750,1350000
"26 Jun 91",101.500, 98.250,100.750,1340000
"SPLIT",1.5,0.0,0.0,0
"27 Jun 91", 68.250, 66.750, 68.000,1170000
"28 Jun 91", 68.750, 65.500, 68.125,1280000
"23 Oct 91", 92.000, 89.750, 90.250, 765000
"24 Oct 91", 90.500, 89.250, 90.250, 561000
